Nr.;Anrede;Titel;Vorname;Nachname;Geburtsdatum;Straße;Hausnummer;Postleitzahl;Stadt;Telefon;Mobil;Telefax;EMail;Newsletter;Eintragsdatum
27;k.A.;;Ansgar;Ohliger;;Dasbacher Straße;143;27777;Ganderkesee;04222/10180057;0175/4716440;;ansgar.ohliger@funmail.none;;17.06.2023
28;Frau;;Gundemarie;Schüssler;;Isarstraße;153;75233;Tiefenbronn;;0165/9299675;;gundemarie69@bestmail.none;;06.01.1989
29;Frau;;Sybilla;Gutbrod;;Dr.-Hans-Brüll-Straße;48;73116;Krettenhof;07172/83926114;0154/4689516;07172/4123486;s.1945@funmail.none;;07.07.1990
30;Herr;;Hubert;Seib;;Am Südpark;143;73099;Adelberg;;0162/8596788;;hubert-seib@retromail.none;ja;26.11.2008
31;Frau;;Samantha;Finger;;Haverbeck;17;85659;Forstern;08124/81160279;0160/3114005;;samantha.finger@mymail.none;;15.08.2023
32;k.A.;;Friederun;Wentzel;;Balder Straße;140;56357;Himmighofen;;;;f33@domain.none;;04.07.2009
33;Herr;;Otwald;Rödiger;26.09.1943;Im Fachbachtal;145;27793;Wildeshausen;;;;;;14.06.2015
34;Herr;;Bartholomäus;Wölke;;Adelheidstraße;158;12687;Marzahn;;0160/4765168;;;ja;17.02.2025
35;Herr;;Arne;Limpert;;Am Krummen Acker;73;86865;Markt Wald;;0174/6654275;;arne-limpert@net-mail.none;ja;18.09.1955
36;Frau;;Matilda;Bick;;Am Hohen Rain;198;52391;Vettweiß;02424/97183672;0155/8069511;;matilda00@company.none;;01.10.2012
37;Herr;;Daniel;Spohn;;Rastatter Straße;151;56291;Badenhard;06746/41153960;0167/3737265;;d_2015@justmail.none;ja;03.07.2018
38;Frau;;Trautlinde;Sahin;;Marellenkämpe;156;55627;Martinstein;06754/23414488;0164/4326068;;t-sahin@spam-mail.none;;07.11.1989
39;Frau;;Finchen;Börner;;Denntalstraße;112;56736;Kottenheim;02651/10721984;0163/6165901;;f_boerner@validmail.none;;03.04.1954
40;Herr;Dr.;Botho;Lohaus;;Vor dem Bruch;30;79588;Efringen-Kirchen;07628/8091025;;;botho-lohaus@spam-mail.none;;16.06.2009
41;Herr;;Walter;Frankl;;Fillbachstraße;28;61239;Ober-Mörlen;06002/81137258;;;walter.2016@mymail.none;nein;19.02.2025
42;Frau;;Ilona;Witting;;Ulmer Straße;16;79862;Höchenschwand;07672/62894164;0174/8730975;;ilona2024@private.none;;07.12.2025
43;k.A.;;Rilana;Niewöhner;;August-Wörner-Straße;148;56825;Schmitt;02676/22326024;;;rilana-niewoehner@email.none;;07.06.2000
44;Herr;;Piet;Streng;26.08.1998;Eschweilerstraße;168;26121;Oldenburg;0441/50503861;;;pietstreng@spam-mail.none;;21.03.2018
45;Frau;;Reingard;Lautenbach;17.04.1909;Gertrudisstraße;125;27432;Alfstedt;04765/83019346;0164/8814238;;r_lautenbach@kitty.none;ja;07.07.1969
46;Frau;;Hubertine;Beese;;Haarstraße;61;18276;Groß Schwiesow;03843/1507004;0162/1805705;;hubertine.1951@anymail.none;;18.06.2017
47;Herr;;Hansjörn;Kircher;14.09.1960;Von Brule Straße;189;93182;Duggendorf;;0164/1806242;;hansjoern_kircher@xyz.none;;05.12.1973
48;Herr;;Dankwart;Klüber;01.05.1992;Schrumpftal;32;55432;Niederburg;06744/51602113;0167/4943041;;d_klueber@validmail.none;ja;07.12.1994
49;Herr;;Achim;Kuhn;22.01.1933;Osterstraße;135;35444;Biebertal;;0173/3618982;;akuhn@trashmail.none;nein;15.01.2018
50;Herr;;Milan;Eggert;;Strandweg;119;25578;Dägeling;04824/38505120;;;milaneggert@validmail.none;;27.05.2007
51;Herr;;Fred;Schütte;;Paßstraße;27;52372;Kreuzau;02422/13934566;0172/9825587;;f.schuette@bestmail.none;ja;16.05.2010
52;Herr;;Immanuel;Schomann;13.02.1908;Reiterstraße;161;67699;Heiligenmoschel;06363/78852740;0165/6401302;;immanuel1908@quickmail.none;ja;12.07.1984
53;Herr;;Wingolf;Rolke;04.05.1970;Chlodwigstraße;140;57580;Elben;02747/21313675;0173/7152132;;wingolf-rolke@goggle-mail.none;;05.12.2014
54;Frau;;Bertwalda;Kretzschmar;;Dörfer Kamp;177;39418;Staßfurt;03925/90814202;;;bertwalda.kretzschmar@hoster.none;ja;13.11.1970
55;Frau;;Ilsegret;Friedlein;;Barrwiese;98;88271;Wilhelmsdorf;07503/65315387;0179/8548017;07503/86652066;ilsegret-24@live-mail.none;nein;10.01.1949
56;Frau;Dr.;Walburg;Schwering;02.03.1917;Georg-Appel-Straße;135;55422;Bacharach;06743/78480964;;;w_schwering@company.none;nein;21.08.1945
57;Frau;;Hildetraud;Burchardt;;Wahlscheider Straße;68;73312;Geislingen an der Steige;07331/21552343;;07331/10746547;h_burchardt@domain.none;;03.05.1938
58;Frau;Dr. Dr.;Rositta;Ermer;;Kornblumenweg;60;67308;Ottersheim;06351/79591713;0150/1297943;;r-ermer@domain.none;;15.05.1987
59;Frau;;Telse;Mettler;;Ibbenbürener Straße;3;54619;Großkampenberg;06550/71612199;0154/2191361;;;;13.11.2024
60;Frau;;Charlotte;Krämer;;Reiweg;7;34355;Staufenberg;05543/62155502;0164/3905322;;charlotte.kraemer@kitty.none;;23.12.1939
61;Herr;;Klemens;Strübing;;Ludwigsburger Straße;192;79227;Schallstadt;07664/22722951;0171/4913012;;klemens_struebing@mymail.none;ja;26.09.1999
62;Herr;;Adelbert;Böse;;Kurfürstenwiese;112;22851;Norderstedt;040/95268173;0155/2414751;;;ja;22.05.2005
63;Herr;;Wolfdieter;Demmel;;Leyler Weg;164;67749;Offenbach-Hundheim;06382/38117158;0156/9328352;;wolfdieter.demmel@company.none;;19.02.2024
64;Herr;;Wulf;Holtermann;;Eipringhausen;82;56244;Ötzingen;;0157/3850380;02602/61067586;w-holtermann@email.none;;04.09.2022
65;k.A.;;Sigolf;Glienke;10.12.1913;Alscherstraße;111;66907;Rehweiler;;0178/9019037;;sigolf1913@live-mail.none;;11.03.1978
66;Frau;;Kreszenz;Maisel;;Amtsstraße;55;61381;Köppern;06175/40320808;0175/8254228;;kreszenz-maisel@bestmail.none;ja;10.07.2004
67;Frau;;Birgit;Scheid;06.09.2010;Hofeichenwiese;55;49377;Vechta;04441/44162760;0168/7997818;04441/50872714;birgit2010@validmail.none;nein;21.06.2011
68;Herr;;Diethart;Müllers;;Eichenallee;72;18276;Reimershagen;;0150/6332425;;diethart.muellers@bestmail.none;;30.11.2025
69;k.A.;;Mechthilde;Sporrer;14.03.1954;Altenhofer Weg;179;89192;Rammingen;07345/64196797;;;;;29.11.1967
70;Herr;;Bertram;Kosel;12.08.1924;Norbert-Michel-Straße;80;89296;Osterberg;08337/68140892;0165/5090769;;bertramkosel@net-mail.none;nein;26.09.1993
71;k.A.;;Theo;Sigmund;;Im Oberdorf;27;91483;Oberscheinfeld;09167/75313513;0161/3789343;;theo.sigmund@trashmail.none;;03.03.2014
72;k.A.;;Utz;Ochmann;08.11.1961;Zum Scharfenstein;183;92712;Pirk;0961/947686;0162/5536277;;uochmann@spam-mail.none;;19.08.2001
73;Herr;;Maic;Deger;02.06.1962;Wieningen;83;51674;Wiehl;;0165/4201984;;maic_1962@kitty.none;ja;28.10.1996
74;Herr;;Randolf;Dröge;;Hülser Straße;54;65197;Wiesbaden;;0159/7974439;;randolf.droege@web.none;;15.08.2008
75;Frau;;Catharina;Meßmer;;Uessbachstraße;151;82216;Maisach;;0175/6510011;;catharinamessmer@ultramail.none;ja;25.11.1978
76;Frau;;Rosa;Aschenbach;;Holzweiler Straße;75;67292;Kirchheimbolanden;06352/49095995;0176/8915277;;r.aschenbach@domain.none;;03.11.2023
77;Frau;;Margarete;Neitzel;;Schmelendriß;14;24321;Klamp;04381/99776765;0159/7503729;;margarete.neitzel@goggle-mail.none;ja;26.01.2005
78;Frau;;Siegrid;Speckmann;;Im Eichenpfädle;14;76744;Vollmersweiler;07275/79122812;0178/2916623;;;ja;20.03.1988
79;Herr;;Albin;Wendler;29.03.2003;Oberhofer Straße;169;72574;Bad Urach;07125/42204736;0151/5170663;;albin_03@spam-mail.none;;11.12.2022
80;Herr;;Elmar;Baumgarten;;Falterweg;196;40235;Düsseldorf;0211/86021637;;;e.baumgarten@company.none;ja;30.10.2002
81;Herr;;Karlernst;Keidel;;Lasdorfer Straße;136;74078;Heilbronn;07131/34323747;0173/4116809;;k.keidel@funmail.none;ja;29.02.2000
82;Herr;;Luke;Singleton;11.09.2003;In der Breitenwiese;141b;76889;Kapsweyer;06343/86734193;0176/9867292;;luke-singleton@goggle-mail.none;;21.04.2009
83;Herr;;Colin;Stöver;30.10.1957;Lennestraße;11 a;44809;Bochum;0234/83027947;0165/8341962;;c-stoever@hoster.none;ja;10.09.1984
84;Frau;;Wilfriede;Haberl;;Hüttinghauser Weg;134;27305;Engeln;04252/52687324;;;;;24.04.1995
85;Herr;;Andreas;Starck;05.03.2013;Terup;163;53177;Bonn;0228/10488971;0172/6712848;;andreasstarck@inter-mail.none;;15.04.2019
86;Frau;;Hellgard;Dorn;;Spielstraße;170;23795;Klein Rönnau;04551/28471006;0150/5469223;04551/90378670;;ja;03.12.1999
87;Frau;;Gunthild;Michelsen;;Beuthener Straße;197;65428;Rüsselsheim;06142/41836923;;;;;05.05.2020
88;Frau;;Magdalene;Johnen;;Lürriper Straße;86;25860;Arlewatt;04846/15651679;0177/4913211;;magdalene-johnen@funmail.none;;04.01.2013
89;Frau;;Lea;Mucha;;Stephanusstraße;65;54597;Roth;;0163/9225813;;lmucha@company.none;;25.11.1953
90;Frau;;Luzia;Sparks;09.07.2004;Avallonstraße;121 a;94166;Stubenberg;08571/61383061;0160/7229106;;l-sparks@live-mail.none;;12.07.2010
91;Frau;;Beatrice;Schlegel;;Lohrbachstraße;8;55767;Siesbach;06782/35042041;0173/4121106;;beatrice.schlegel@funmail.none;;12.07.1995
92;k.A.;;Juliane;Grabbe;;Kalter Rain;68;88521;Ertingen;;0165/7536454;;juliane.grabbe@company.none;;04.01.2018
93;Herr;Dr.;Schorsch;Hefter;25.12.2006;Winkelstraße;78a;55234;Hangen-Weisheim;06244/71733859;;;;nein;18.12.2013
94;Herr;;Erfried;Grieger;28.02.1963;Bleeke;182;56479;Westernohe;02664/75103981;0150/8982233;;e_grieger@web.none;;04.07.1971
95;Herr;;Arwin;Ambrosius;;Löchte;60;56357;Auel;06771/54999595;0154/4574480;;arwin.ambrosius@justmail.none;ja;12.07.2018
96;Frau;Prof. Dr. Dr.;Ehrentrud;Brunotte;;Vitustor;181;31558;Hagenburg;05033/12990900;0164/1700947;;ehrentrud-brunotte@company.none;;24.01.2024
97;Frau;;Altraud;Christof;;Sieben Morgen;127;04860;Dreiheide;03421/56039233;0174/6167916;;altraud.50@trashmail.none;;14.02.1962
98;Herr;;Gereon;Harnisch;;Im Heidchen;67;56288;Hasselbach;06762/31575964;0150/4243741;;gereon.1940@quickmail.none;;03.04.1994
99;k.A.;;Vitalis;Petrat;;Im Nebelsgarten;179;91593;Burgbernheim;09843/17179219;0176/4966857;;vitalis.petrat@funmail.none;ja;18.11.2016
100;Herr;;Merten;Waldenmaier;;Horstmarer Straße;157;67685;Weilerbach;06374/69514646;0164/6056823;;m-waldenmaier@justmail.none;;20.11.2004
101;Frau;;Merle;Posch;;Stukenbergstraße;182;51375;Leverkusen;0214/98216261;;;mposch@company.none;;02.03.2025
102;Frau;;Isedore;Weigmann;;Ludwig-Neck-Straße;154;73463;Westhausen;07363/37075845;0174/8185882;;isedore.weigmann@spam-mail.none;;17.10.2023
103;k.A.;;Otto;Hessler;;Reichweindamm;124;55288;Gabsheim;;0179/9543131;;;;01.12.2020
104;Frau;;Annalies;Kleinhans;;Ahrweilerstraße;72;29478;Höhbeck;05846/46409098;0159/5619707;;annalies_kleinhans@quickmail.none;;29.09.1983
105;Frau;;Wolfhilde;Riethmüller;;Auf dem Bandel;74;53505;Altenahr;02643/62540624;;;wolfhilde.riethmueller@ultramail.none;;04.11.1983
106;Herr;;Hubertus;Neumayer;;Mettmanner Straße;178;46119;Oberhausen;0208/65018833;;;h-neumayer@net-mail.none;ja;12.09.2008
107;Herr;;Luca;Brütting;04.07.1925;Bäckergasse;100;68542;Heddesheim;06203/41686158;;;l_25@domain.none;;30.06.1942
108;Frau;;Desiree;Birkholz;;Celler Straße;111;37647;Polle;;;;desiree-birkholz@web.none;ja;08.11.2009
109;Herr;;Eduard;Wanderer;;Ortelsburgweg;148;57648;Bölsberg;02661/61953077;0151/9381537;;eduard.wanderer@kitty.none;ja;13.08.1941
110;Frau;;Isa;Baehr;;Kührerstraße;183;48465;Suddendorf;05923/46999593;;;;;08.02.2021
111;Herr;;Lorenz;Scharl;;Silscheder Straße;63;21723;Hollern-Twielenfleth;04142/47470730;0170/9335975;;lorenz.scharl@goggle-mail.none;;16.04.1918
112;k.A.;;Gelbert;Grünert;;Bahnweg;120;54634;Birtlingen;06561/24403653;;;g_1922@company.none;;27.09.1952
113;k.A.;;Isa;Schmidberger;;Königsweg;131;24635;Daldorf;04328/20638623;0179/1145046;;isaschmidberger@domain.none;;02.09.1997
114;Frau;;Theodolinde;Schwenger;;Nikolausweg;39;55767;Gollenberg;06782/64659679;;;t-schwenger@net-mail.none;ja;17.08.1961
115;Herr;Dr.;Jobst;Böhling;;Teutonenstraße;183;46119;Oberhausen;;0162/4887862;;jobstboehling@quickmail.none;;25.11.2004
116;Frau;;Rosalinde;Tammen;28.04.1987;Sechsheldener Straße;83;34121;Kassel;0561/64672610;0174/8204686;;rosalinde_tammen@retromail.none;;18.02.1996
117;Herr;;Paul;Häuser;;Husemannstraße;110;54528;Salmtal;06578/5616439;0178/6229289;;p.66@web.none;;08.07.1996
118;Frau;;Annica;Wallbaum;;August-Wörner-Straße;102;54518;Gladbach;06571/98611338;0151/5263638;;annica_16@inter-mail.none;;19.02.2023
119;Herr;;Kurth;Kovacevic;29.03.1932;Gildenstraße;5;54531;Pantenburg;06572/83277675;0168/9091529;;kurth_kovacevic@funmail.none;;25.04.1949
120;Herr;;Otheinrich;Gier;;Goethering;140;74219;Möckmühl;06298/86805722;0178/5311417;;otheinrich-gier@validmail.none;nein;24.03.2025
121;Herr;;Traugott;Brinker;;Sperberweg;168;88477;Schwendi;07353/41328249;0176/5179954;;;ja;24.07.1985
122;Herr;;Arved;Gottwald;;Hepperichstraße;150;59964;Medebach;02982/89197034;0167/9353057;;arved_1950@mymail.none;;17.09.1957
123;Herr;;Luca;Matt;;Behringweg;76;55608;Becherbach;;0176/2901024;;lmatt@quickmail.none;;24.12.1987
124;Herr;;Reimo;Nacke;20.11.1995;Auf dem Hermes;105;78713;Schramberg;07422/96727437;0173/9955342;;r1995@bestmail.none;;13.11.1997
125;Herr;;Olf;Gehlen;18.09.1949;Burghofstraße;135;25779;Hägen;04836/66829891;0155/3488336;;o1949@mymail.none;nein;29.12.1994
126;Herr;;Walbert;Fröde;;Rottes;151;35428;Langgöns;06403/93697241;0161/4862013;;w_froede@goggle-mail.none;;20.04.1939
127;Frau;;Gabi;Reichelt;;Velberter Straße;99c;75323;Bad Wildbad;07081/46191102;0162/3191365;;;nein;24.10.1980
128;Frau;;Roslinda;Huppertz;;Neubeckumer Straße;130;48431;Rheine;;0151/7863801;;roslinda-16@net-mail.none;nein;23.02.2019
129;Frau;;Adolfine;Oetzel;;Im Sande;77;55437;Ober-Hilbersheim;;;;;;14.10.2022
130;Herr;;Josua;Dost;;Bergkamp;28;24634;Arpsdorf;;0176/1640964;;josua.dost@email.none;;16.07.1981
131;Frau;;Alheid;Deck;;Auf der Gasse;163;56288;Zilshausen;02672/21934490;0170/8422248;;alheid.25@trashmail.none;nein;20.09.2014
132;Frau;;Liselotte;Fröhling;;Holtener Straße;151;17348;Petersdorf;03963/98977706;0173/4414556;03963/92024767;;;28.05.2020
133;Frau;;Reinlinde;Eschweiler;;Limesstraße;84b;95469;Speichersdorf;09275/31768915;;;r_eschweiler@mymail.none;;12.02.2019
134;Herr;;Erik;Bayerlein;;Zum Freistein;14;23968;Wismar;03841/69263360;0152/9502922;;erik-bayerlein@funmail.none;ja;14.09.1979
135;Herr;;Gereon;Hinck;;Ahrweilerstraße;101;24943;Flensburg;0461/77784033;0150/8748116;;gereon.hinck@live-mail.none;;17.09.2023
136;Frau;;Paulina;Malone;;Hohle Straße;112;63906;Erlenbach am Main;09372/2524465;0157/5068647;;paulinamalone@hoster.none;;25.09.1926
137;Frau;Prof. Dr. Dr.;Elfriede;Reinsch;;Zum Kalkofen;121;49828;Georgsdorf;05946/15749507;0163/2381474;;;;25.07.1979
138;Herr;;Muhammed;Hildmann;23.02.1999;Von-Hasselt-Straße;5;48480;Schapen;05977/5775639;0179/4367826;;m.hildmann@validmail.none;;25.06.2016
139;Frau;;Krimhild;Buchholz;;Kiefholzstraße;142;67480;Edenkoben;06323/97772882;0151/8058789;;krimhild.buchholz@trashmail.none;ja;14.12.2008
140;k.A.;;Adela;Lütje;;Wiesenpfad;31;53474;Bad Neuenahr-Ahrweiler;;0156/4968264;;a_2023@mymail.none;ja;03.03.2026
141;Herr;;Dario;Paul;;Burghofstraße;59;30826;Garbsen;05131/68314427;0153/3743672;;;;21.05.1919
142;Herr;;Hanswilhelm;Pätzold;23.05.1934;Hohlweg;115;54344;Kenn;06502/72195361;0179/9773439;;hanswilhelm1934@justmail.none;;22.01.2025
143;Frau;;Vreneli;Hund;;Auf dem Köppel;178 c;96175;Pettstadt;09502/9334040;0156/8114864;09502/76073823;v_2000@open-mail.none;;07.09.2001
144;Frau;;Melissa;Baumgartner;;Kaulstraße;86;31191;Algermissen;05126/367492;0173/4851597;;m_baumgartner@xyz.none;;30.12.2023
145;Frau;;Kim;Fenner;;Mülldorfer Straße;123;71034;Böblingen;07031/297076;0163/4945546;;k.fenner@anymail.none;ja;21.04.2011
146;Herr;;Mert;Dahms;;Auf dem Härdtchen;181;58566;Kierspe;02359/53759647;0150/6969777;;mert_dahms@email.none;;16.09.2019
147;Herr;Dr.;Heintje;Boch;;Im Kirschengarten;24;55116;Mainz am Rhein;06131/18964122;0163/2177427;;heintjeboch@quickmail.none;;22.09.2024
148;Frau;;Mariella;Bruckner;05.02.1982;Bruchhausener Straße;173;55758;Sien;06788/59970405;0151/9087535;;mariella.bruckner@funmail.none;;19.10.1987
149;Frau;;Loremarie;Reichling;;Kuyckheide;82;25560;Puls;;0177/6810564;;loremarie.reichling@validmail.none;;05.03.1917
150;Herr;;Haug;Lemm;03.08.1956;Im Facken;168b;89443;Schwenningen;;0171/5188952;;hlemm@spam-mail.none;;08.02.2026
151;Frau;;Annekäthe;Prause;;In der Fahrt;194;38170;Winnigstedt;05332/62325884;0172/9306549;05332/42775225;annekaethe_prause@net-mail.none;;09.11.1962
152;Frau;;Birge;Schöneich;;Stiegstraße;119;25774;Lunden;;0174/1849758;;;ja;28.12.2025
153;Herr;;Welf;Ehler;;Kleinmaischeider Straße;69;73635;Obersteinenberg;07183/14719555;0150/3501393;;welf_1967@retromail.none;;08.06.2004
154;Herr;;Jean;Er;03.12.1932;Am Köppel;38;28203;Bremen;0421/60654222;0159/3660102;0421/14792299;jean.32@private.none;;27.03.2020
155;Frau;;Gertraut;Scheerer;;Helle Bieke;168;55291;Saulheim;06732/39442805;0177/3969788;;;nein;01.10.1929
156;k.A.;;Adolf;Kamps;;Leberstraße;75;76848;Wilgartswiesen;06392/76960171;;;a.1948@email.none;ja;28.03.1986
157;Herr;;Albrecht;Eichstädt;27.04.1976;Rommelstraße;157;36167;Nüsttal;;;;aeichstaedt@validmail.none;;12.01.1979
158;Herr;Dr.;Josua;Romano;;Lahn-Eder-Straße;22;94505;Bernried;09905/9524100;;;josua_romano@bestmail.none;nein;22.02.2026
159;Frau;;Malin;Oehl;;Lorkenhöhe;49;24797;Tackesdorf;04872/13657185;0155/4988932;;malinoehl@email.none;ja;23.11.1996
160;Herr;;Wolfrid;Rüsch;27.06.1960;Schelde-Lahn-Straße;138;25724;Neufeld;04851/8643961;0164/9044148;;wolfrid.ruesch@email.none;;22.02.1986
161;Frau;;Trixi;Lemm;13.05.1957;Ernst-Meister-Weg;31b;63811;Stockstadt am Main;;0167/9897678;;trixi-lemm@kitty.none;;05.09.1979
162;Herr;;Tiburtius;Horvath;;Natrup;19;94550;Künzing;08549/48457866;0160/6649147;08549/44518931;tiburtius-horvath@validmail.none;ja;17.04.2025
163;Frau;;Lisbeth;Weindl;;Schleusenstraße;37;47179;Duisburg;0203/59179186;0166/5808770;;;;10.12.1997
164;Frau;;Ernestine;Malinowski;;Haarstraße;75;75249;Kieselbronn;07231/75193975;0157/3793991;;ernestine-malinowski@open-mail.none;;23.06.2009
165;Frau;;Mila;Klages;;Hafenstraße;115;67822;Niedermoschel;06362/91369702;0157/1357539;;mila.klages@kitty.none;ja;16.10.1987
166;Herr;;Dietfried;Mallmann;;Stephanstraße;68;54470;Graach an der Mosel;06531/92913640;0154/7999960;;;;30.05.1916
167;Herr;;Karlpeter;Knebel;;Präsidentenstraße;185;65189;Wiesbaden;0611/21410756;;;k-knebel@company.none;;12.12.1933
168;Frau;;Christliebe;Domnick;26.02.2007;Behlesheck;142;36169;Rasdorf;06651/88112268;0167/4566410;;christliebe_domnick@inter-mail.none;ja;10.08.2025
169;k.A.;;Annemirl;Schuldt;;Wintert;94a;84189;Wurmsham;08745/7559579;0159/2090549;;annemirl_1919@funmail.none;nein;01.06.1968
170;Herr;;Edmar;Blöcher;27.05.1968;Im Blauen Garn;89;37136;Seulingen;05507/5351645;0168/6607519;;e.bloecher@mymail.none;;06.06.1998
171;Herr;;Clemens;Sonnenschein;;Obergombental;93;58454;Witten;02302/94907028;0168/3366721;;c-sonnenschein@live-mail.none;;12.02.2014
172;Frau;;Bertha;Brunke;;Stauderstraße;187;30926;Seelze;05137/59629903;0177/6896870;;bertha.1930@bestmail.none;nein;30.12.2003
173;k.A.;;Hildburg;Menn;;Niklaus-Ehlen-Weg;52;76872;Minfeld;;0156/9465836;;hildburg.menn@company.none;;17.07.2025
174;Herr;;Wieghart;Krönert;14.12.1962;Im Freistal;55;54470;Lieser;06531/25265681;;06531/26865003;wieghart.62@funmail.none;;04.06.2008
175;Frau;;Theobalda;Träger;;Im Schönblick;175;87770;Oberschönegg;08333/29484825;;;theobalda1988@company.none;nein;03.05.1993
176;Frau;;Waltrude;Röhrle;;Hirschbachstraße;125;67283;Obrigheim;06359/24916500;0176/8462116;06359/58281743;waltruderoehrle@kitty.none;;04.06.2002
177;Frau;Dr.;Leopoldine;Hellmich;;Im Münchfeld;78;52459;Inden;;0165/5635110;02465/93311531;leopoldinehellmich@net-mail.none;;09.06.2014
178;Frau;;Helmine;Kreiner;;Weinberg;84;54531;Pantenburg;;0169/1922981;06572/71578612;hkreiner@bestmail.none;;14.02.2022
179;Herr;;Albin;Penzkofer;;Ricarda-Huch-Straße;35;54518;Heckenmünster;06571/21076829;0163/3676972;;albin_penzkofer@live-mail.none;ja;05.12.1952
180;Frau;;Zoe;Alsleben;;Im Bohnenhof;143;55606;Horbach;06752/55476310;;06752/30715482;zalsleben@goggle-mail.none;;09.07.2010
181;Herr;;Friedeborn;Küper;;Hallering;14;49577;Ankum;05462/46194595;0174/2110314;;fkueper@net-mail.none;nein;08.02.2011
182;Frau;;Evelin;Fütterer;;Loogher Straße;45;24799;Friedrichsholm;;0168/6407163;;evelin_fuetterer@trashmail.none;;29.12.2018
183;Herr;;Hermann;Wissmann;;Hermann-Gilles-Straße;10;39606;Krevese;03937/32973877;0166/6481062;;hermann-wissmann@net-mail.none;;05.04.1984
184;Frau;;Gretl;Ehmer;;Am Steinberg;88 b;84187;Weng;;0152/6196945;;g.ehmer@web.none;;17.09.2010
